FACTOR1	P-VALUE	CORR.P-VALUE	A	B	C	D	PERCENT	BACK.PER.	GENES
UP00079_1_Esrra_primary	1.0	1.0	7.0	412.0	0.0	0.0	1.67	0.0	BMP5,ADAMTS2,KCNMA1,RALYL,NEGR1,MAGI2,DGKB
UP00000_2_Smad3_secondary	1.0	1.0	22.0	397.0	0.0	0.0	5.25	0.0	CACNA1H,KIAA1257,ACAD9,LIMCH1,ADAMTS2,MEIS3,SGCB,NRXN1,PRUNE2,MAGI2,PRKACB,TSHZ3,GNAI1,STXBP5L,FOXC1,FBXW7
MA0163.1.PLAG1	1.0	1.0	14.0	405.0	0.0	0.0	3.34	0.0	CACNA1H,TMEM63C,PNPLA5,ADAMTS2,MEIS3,TENM3,LSAMP,ANKS1B,RNF150,ZDHHC22,SULT4A1
MA0152.1.NFATC2	1.0	1.0	58.0	361.0	0.0	0.0	13.84	0.0	C2CD4A,MMP16,AGBL4,MEIS2,TENM3,DIEXF,MAPK10,SLC30A8,DHX34,ZDHHC22,ST18,CACNA1H,SIM1,ADAMTS2,CACNB2,LIMCH1,MEIS3,KCNMA1,PYROXD1,RGS4,MAGI2,SYT14,RNF150,DHCR24,TRPM3,TSPYL5,RASEF,TSHZ3,TMEM63C,IAPP,NEGR1,ANKS1B,ST6GALNAC5,CACNA2D1,ROR1,PDZRN3,RGS17,BMP5,TMEM61,GRIK2,RNF180,RALYL,PRUNE2,ABCC9,LSAMP,CADM1
UP00228_1_Bapx1_2343.1	1.0	1.0	11.0	408.0	0.0	0.0	2.63	0.0	SIM1,ADAMTS2,LIMCH1,NALCN,MEIS2,MAGI2,ASCC3,ROR1,PDZRN3
MA0137.1.STAT1	1.0	1.0	20.0	399.0	0.0	0.0	4.77	0.0	GNAI1,SIM1,ADAMTS2,PAPPA2,NALCN,MEIS3,TRPM3,NRXN1,KCNMA1,ATRNL1,MEIS2,MTUS2,PAX6,MAGI2,ST6GALNAC5,PDZRN3,DHX34,ST18,FBXW7
UP00104_1_Hmx1_3423.1	1.0	1.0	5.0	414.0	0.0	0.0	1.19	0.0	ISL1,MAGI2,PDZRN3
MA0078.1.Sox17	1.0	1.0	7.0	412.0	0.0	0.0	1.67	0.0	SAMD13,NALCN,CCDC175,CPE,RTN1,SLCO1A2,PRKACB,ELP4,TRPM3
UP00040_2_Irf5_secondary	1.0	1.0	7.0	412.0	0.0	0.0	1.67	0.0	RGS17,KCNMA1,TENM3,MAGI2,PDZRN3,FBXW7
MA0055.1.Myf	1.0	1.0	36.0	383.0	0.0	0.0	8.59	0.0	C2CD4A,AGBL4,GRIA2,SPTB,SCG2,CACNA1H,SIM1,ADAMTS2,CACNB2,KCNMA1,NBEA,MAGI2,TSHZ3,CPE,KIAA1804,MTUS2,PAX6,ANKS1B,CADPS,CACNA2D1,ROR1,PDZRN3,SULT4A1,TMEM61,NRXN1,FOXC1
MA0156.1.FEV	1.0	1.0	30.0	389.0	0.0	0.0	7.16	0.0	C2CD4A,ISL1,TENM3,SLC30A8,SOX6,GNAI1,ADAMTS2,CACNB2,PYROXD1,EML5,MAGI2,DGKB,NECAB2,TRPM3,TSC22D1,TSC22D1-AS1,TTC8,IAPP,SLCO1A2,ANKS1B,ST6GALNAC5,CACNA2D1,ROR1,PDZRN3,GRIK2,NALCN,RALYL
UP00017_2_Nkx3-1_secondary	1.0	1.0	7.0	412.0	0.0	0.0	1.67	0.0	RGS17,SIM1,RTN1,MAGI2,ASCC3,ROR1,TRPM3
MA0111.1.Spz1	1.0	1.0	17.0	402.0	0.0	0.0	4.06	0.0	SULT4A1,ADAMTS2,NALCN,KCNMA1,GRIA4,TENM3,GMDS,MAPK10,MAGI2,PNPLA5,ANKS1B,SOX6,FOXC1,TRPM3
UP00106_1_Vax2_3500.1	1.0	1.0	5.0	414.0	0.0	0.0	1.19	0.0	MEIS2,SIM1,KL,MAGI2,PDZRN3
UP00051_1_Sox8_primary	1.0	1.0	17.0	402.0	0.0	0.0	4.06	0.0	TENM3,BMP5,CACNA2D1,TMEM61,RGS17,GRIK2,TRPM3,GRIA4,NEGR1,MTUS2,ABCC9,DHCR24,RIMS2,PDZRN3
UP00257_1_Shox2_2641.2	1.0	1.0	1.0	418.0	0.0	0.0	0.24	0.0	MEIS2
UP00067_1_Lef1_primary	1.0	1.0	13.0	406.0	0.0	0.0	3.1	0.0	NR3C2,TMEM61,ADAMTS2,EML5,NALCN,KCNMA1,KL,NEGR1,ROR1,ITGBL1,SOX6,ZC3H14,TENM3,PDZRN3
MA0041.1.Foxd3	1.0	1.0	28.0	391.0	0.0	0.0	6.68	0.0	TENM3,LURAP1L,MAPK10,SLC30A8,ST18,ADAMTS2,CACNB2,KCNMA1,MAGI2,RNF150,PDZRN3,FBXW7,TSPYL5,TSC22D1,RAB3C,CACNA2D1,ROR1,DHCR24,RGS17,TMEM61,GRIK2,RALYL,LSAMP,TRPM3
UP00406_2_Spdef_secondary	1.0	1.0	14.0	405.0	0.0	0.0	3.34	0.0	NR3C2,NALCN,TSC22D1,GRIK2,TENM3,MTUS2,MAPK10,MAGI2,DGKB,PRUNE2,RNF150,PDZRN3
UP00004_1_Sox14_primary	1.0	1.0	4.0	415.0	0.0	0.0	0.95	0.0	BMP5,FBXW7,MEIS2,PDZRN3
UP00206_1_Hoxb7_3953.1	1.0	1.0	2.0	417.0	0.0	0.0	0.48	0.0	SIM1,SOX6
UP00075_1_Sox15_primary	1.0	1.0	19.0	400.0	0.0	0.0	4.53	0.0	CACNA2D1,TMEM61,ADAMTS2,GRIK2,TRPM3,GRIA4,KL,NEGR1,MEIS2,MTUS2,RIMS2,LSAMP,DHCR24,SOX6,FAM135A,ROR1,FBXW7
UP00226_1_Mrg1_2246.2	1.0	1.0	12.0	407.0	0.0	0.0	2.86	0.0	C2CD4A,CACNA2D1,PAPPA2,KCNMA1,RALYL,TENM3,MTUS2,MAGI2,DGKB,PDZRN3,VPS13C,FBXW7
UP00023_1_Sox30_primary	1.0	1.0	12.0	407.0	0.0	0.0	2.86	0.0	FGF14,PDZRN3,GRIK2,KCNMA1,GRIA4,KL,MEIS2,SLC30A8,SLCO1A2,CACNA2D1,MAGI2
MA0019.1.Ddit3::Cebpa	1.0	1.0	11.0	408.0	0.0	0.0	2.63	0.0	FGF14,ADAMTS2,CACNB2,TRPM3,UNC5D,NEGR1,MAGI2,PDZRN3,SLC30A8,ROR1,FBXW7
UP00244_1_Tlx2_3498.2	1.0	1.0	10.0	409.0	0.0	0.0	2.39	0.0	BMP5,SAYSD1,NALCN,CACNB2,MEIS2,LURAP1L,MAGI2,GLP1R,MAP9,TRPM3
