TF_ID	TF_NAME
MA0161.1.NFIC	NFIC
UP00094_2_ZFP128_SECONDARY	ZFP128
MA0075.1.PRRX2	PRRX2
UP00164_1_HOXA7_2668.2	HOXA7
UP00205_1_PKNOX2_3077.2	PKNOX2
UP00086_1_IRF3_PRIMARY	IRF3
UP00061_2_FOXL1_SECONDARY	FOXL1
UP00046_1_TCFE2A_PRIMARY	TCF3
MA0101.1.REL	REL
UP00073_2_FOXA2_SECONDARY	FOXA2
UP00044_1_MAFK_PRIMARY	MAFK
IRF8_AICS	NA
UP00036_1_MYF6_PRIMARY	MYF6
UP00260_1_HOXC6_3954.2	HOXC6
MA0036.1.GATA2	GATA2
MA0031.1.FOXD1	FOXD1
UP00223_2_IRX3_2226.1	IRX3
UP00041_2_FOXJ1_SECONDARY	FOXJ1
UP00133_1_CDX2_4272.1	CDX2
MA0042.1.FOXI1	FOXI1
UP00033_2_ZFP410_SECONDARY	ZFP410
UP00096_2_SOX13_SECONDARY	SOX13
UP00039_1_FOXJ3_PRIMARY	FOXJ3
MA0030.1.FOXF2	FOXF2
UP00112_1_GSC_2327.3	GSC
MA0051.1.IRF2	IRF2
UP00025_1_FOXK1_PRIMARY	FOXK1
UP00093_1_KLF7_PRIMARY	KLF7
MA0040.1.FOXQ1	FOXQ1
MA0028.1.ELK1	ELK1
UP00055_1_HBP1_PRIMARY	HBP1
UP00005_1_TCFAP2A_PRIMARY	TFAP2A
MA0137.1.STAT1	STAT1
MA0137.2.STAT1	STAT1
UP00028_2_TCFAP2E_SECONDARY	TFAP2E
MA0144.1.STAT3	STAT3
UP00073_1_FOXA2_PRIMARY	FOXA2
MA0099.1.FOS	FOS
UP00045_2_MAFB_SECONDARY	MAFB
MA0114.1.HNF4A	HNF4A
UP00121_1_HOXD10_2368.2	HOXD10
MA0124.1.NKX3-1	NKX3-1
UP00024_1_GLIS2_PRIMARY	GLIS2
MA0065.2.PPARG::RXRA	NA
MA0076.1.ELK4	ELK4
UP00236_1_IRX2_0900.3	IRX2
MA0018.2.CREB1	CREB1
UP00022_1_ZFP740_PRIMARY	ZFP740
MA0056.1.MZF1_1-4	MZF1
UP00101_2_SOX12_SECONDARY	SOX12
MA0164.1.NR2E3	NR2E3
UP00188_1_LMX1A_2238.2	LMX1A
MA0108.1.TBP	TBP
UP00258_1_TGIF2_3451.1	TGIF2
UP00064_2_SOX18_SECONDARY	SOX18
UP00150_1_IRX6_2623.2	IRX6
UP00024_2_GLIS2_SECONDARY	GLIS2
UP00408_2_GABPA_SECONDARY	GABPA
UP00408_1_GABPA_PRIMARY	GABPA
UP00218_1_DBX2_3487.1	DBX2
MA0047.2.FOXA2	FOXA2
