FACTOR1	P-VALUE	CORR.P-VALUE	A	B	C	D	PERCENT	BACK.PER.	GENES
MA0079.2.SP1	5.34528689447e-18	0.0	66.0	228.0	39.0	843.0	22.45	4.42	ELAVL4,AGBL4,ACVR1C,SDK1,GRIA2,SPTB,KCNMA1,TENM3,SLC5A1,GPM6A,NOL4,TMEM132D,CADPS,GAD2,CACNA1H,ATRNL1,SIM1,FEZF2,ADAMTS2,CACNB2,AMER3,RORB,MAP10,KCNK16,GMDS,GLP1R,OXGR1,NECAB2,FAM135B,PCDH17,JAKMIP2,BEND5,KIF6,TSHZ3,HMGCLL1,RTN1,UNC5D,BARX2,DKFZP686K1684,PAX6,DACH1,KCNB2,ST6GALNAC5,GABRB3,C1QTNF8,NEUROD1,NALCN,ST8SIA3,MEIS2,PRUNE2,DCTD,LSAMP,STXBP5L,FOXC1
MA0099.1.Fos	2.1976399017e-17	0.0	46.0	248.0	15.0	867.0	15.65	1.7	ELAVL4,C2CD4A,AGBL4,TSPYL5,SPTB,GRIA4,G6PC2,STARD13,CNTN4,TMEM132D,ST18,CACNA1H,ADAMTS2,KCNMA1,IGSF11,NMNAT3,UGGT2,FAM135B,FGF14,SDK1,RIMBP2,C1QTNF8,MTUS2,ANKS1B,ROR1,TMEM63C,SULT4A1,PAPPA2,ABCB11,KL,MEIS2,LSAMP,HS6ST3,EFCAB6
MA0056.1.MZF1_1-4	2.08329121039e-17	0.0	144.0	150.0	197.0	685.0	48.98	22.34	DCTD,KIAA1257,SPTB,MEIS2,SNAP91,GPM6A,KCNB2,CACNA1H,ADAMTS2,RORB,ATRNL1,GLP1R,NECAB2,JAKMIP2,FAM84A,CACNA2D1,NKX6-1,LOC145845,SCGB2A1,RNF180,LSAMP,ELAVL4,ACVR1C,GRIA2,G6PC2,CNTN4,TMEM132D,ST18,KBTBD7,AMER3,MEIS3,KCNMA1,IGSF11,MAP10,KCNK16,GMDS,FAM135B,SDK1,KIF6,TSHZ3,UNC5D,ABCB11,PAX6,SULT4A1,NALCN,ST8SIA3,PCDH17,HS6ST3,ASCC3,FOXC1,AGBL4,TENM3,ST6GALNAC5,GAD2,CACNB2,GPR148,NMNAT3,OXGR1,CADM1,BEND5,RIMBP2,HMGCLL1,BARX2,ANKS1B,NOL4,C1ORF168,GABRB3,PDZRN3,TMEM63C,NEUROD1,SLC5A1,PAPPA2,FGF14,C8A,DSCAM,MAP9,SIM1,FEZF2,PGR,PCDH20,RTN1,DACH1,CADPS,C1QTNF8,PRUNE2,STXBP5L
UP00000_2_Smad3_secondary	1.22445239277e-14	6.53366249992e-12	38.0	256.0	12.0	870.0	12.93	1.36	MYO3A,AGBL4,ACVR1C,GRIA2,DACH1,CADPS,GAD2,CACNA1H,SIM1,FEZF2,CACNB2,GMDS,PGR,ATP5EP2,HMGCLL1,NECAB2,FAM135B,SDK1,GLP1R,UNC5D,PAX6,ANKS1B,KCNB2,ST6GALNAC5,GABRB3,C1QTNF8,NEUROD1,ST8SIA3,PRUNE2,LSAMP,PDX1,FOXC1
MA0139.1.CTCF	6.01626980949e-14	3.21329629571e-11	51.0	243.0	30.0	852.0	17.35	3.4	ELAVL4,MYO3A,AGBL4,SPTB,GRIA4,SLC5A1,CNTN4,DSCAM,TMEM132D,TMEM132B,CACNA1H,ATRNL1,SIM1,ADAMTS2,AMER3,GPR148,KCNMA1,MAP10,PGR,RASEF,GLP1R,NMNAT3,FAM135B,FGF14,SDK1,BARX2,MTUS2,DACH1,NOL4,ST6GALNAC5,CACNA2D1,NKX6-1,C1QTNF8,TMEM61,GRIK2,ST8SIA3,PCDH17,ASCC3,SLC17A6
UP00103_2_Jundm2_secondary	1.10462616958e-12	5.88790127765e-10	36.0	258.0	14.0	868.0	12.24	1.59	ELAVL4,C2CD4A,AGBL4,TSPYL5,GRIA4,G6PC2,STARD13,MAPK10,CNTN4,TMEM132D,MAP9,ST18,CACNA1H,IGSF11,NMNAT3,FAM135B,FGF14,SDK1,C1QTNF8,MTUS2,ANKS1B,ROR1,TMEM63C,SULT4A1,PAPPA2,ABCB11,KL,PDK4,EFCAB6
UP00021_1_Zfp281_primary	1.92034589004e-12	1.02162767135e-09	49.0	245.0	32.0	850.0	16.67	3.63	ELAVL4,AGBL4,ACVR1C,SDK1,GRIA2,KCNMA1,DACH1,CNTN4,GAD2,CACNA1H,SIM1,FEZF2,ADAMTS2,CACNB2,AMER3,RORB,KCNK16,GMDS,GLP1R,OXGR1,NECAB2,FAM135B,CADM1,JAKMIP2,BEND5,KIF6,HMGCLL1,RTN1,UNC5D,PAX6,ANKS1B,NOL4,CADPS,GABRB3,C1QTNF8,NEUROD1,SLC5A1,ST8SIA3,PRUNE2,PCDH17,ASCC3,FOXC1
UP00007_1_Egr1_primary	8.26847278947e-11	4.39056001555e-08	33.0	261.0	15.0	867.0	11.22	1.7	GRIA2,SNAP91,ANKS1B,CNTN4,DSCAM,MAP9,CACNA1H,SIM1,GABRB3,ADAMTS2,CACNB2,AMER3,ATRNL1,GMDS,NECAB2,CADM1,RIMBP2,FAM84A,PAX6,DACH1,NOL4,CACNA2D1,PDZRN3,C1QTNF8,NEUROD1,NALCN,ST8SIA3,SLC18A2,FOXC1
UP00002_1_Sp4_primary	2.40709911604e-10	1.27576237019e-07	38.0	256.0	23.0	859.0	12.93	2.61	ACVR1C,GRIA2,SNAP91,DACH1,NOL4,TMEM132D,MAP9,CACNA1H,SIM1,ADAMTS2,CACNB2,AMER3,RORB,DSCAM,KCNK16,GMDS,PGR,ATP5EP2,HMGCLL1,OXGR1,NECAB2,FAM135B,KIF6,UNC5D,BARX2,PAX6,ANKS1B,KCNB2,GABRB3,NEUROD1,SLC5A1,ST8SIA3,PRUNE2,LSAMP,ASCC3,PDX1,FOXC1
UP00033_2_Zfp410_secondary	6.55211510621e-10	3.46606850887e-07	37.0	257.0	23.0	859.0	12.59	2.61	AGBL4,ACVR1C,GRIA2,KCNMA1,GPM6A,CNTN4,NOL4,ST18,CACNA1H,SIM1,FEZF2,ADAMTS2,CACNB2,AMER3,RORB,NECAB2,FAM135B,BEND5,KCNK16,C1QTNF8,UNC5D,BARX2,DKFZP686K1684,PAX6,DACH1,KCNB2,CADPS,GABRB3,LOC145845,NEUROD1,ST8SIA3,MEIS2,PRUNE2
