FACTOR_ID	FACTOR_NAME	CORR_PVALUE	PVALUE	GENES
MA0099.1.Fos	FOS	0.0	1.74321297881e-87	QTRTD1,PMAIP1,ISL1,SPTB,FOXI1,MAFA,PPM1H,NKX2-5,ADAMTS2,RORA,EML5,MAGI2,FOXF2,NECAB2,FOXQ1,DDIT3,NFIL3,ENPP2,NEGR1,MTUS2,EDEM3,CACNA2D1,ROR1,TENM3,BMP5,APP,RNF180,NRXN1,RUNX1,LSAMP,PRRX2,MMP16,SDK1,SLC7A2,GRIA4,NKX2-2,ST18,KBTBD7,DDX59,CHODL,LIMCH1,KCNMA1,SOX17,PBX4,PCLO,RASEF,SAMD3,DLX1,DLX2,TRPM3,TSPYL5,TCF7,ELK4,TSHZ3,OXGR1,TTC8,UNC5D,ZEB2,IRF2,IRF1,ELP4,SULT4A1,TMEM61,ZNRF2,NALCN,C2CD4A,AGBL4,HDAC7,NHLH1,CADPS,GNAI1,SGCB,NFKB2,RIMS2,FBXW7,ABCG1,RXRA,FOXD1,ANKS1B,SLC43A3,RNF150,PDZRN3,ERO1L,GRIK2,IRS1,RALYL,CDK8,LPAR1,BIRC3,FOXO3,SLC5A1,FOXO1,BMPER,TEAD3,TEAD1,SOX6,TEAD4,DGKZ,CEBPA,SOX5,NR3C1,REST,ST6GALNAC5,PBX3,PBX1,NFIB,E2F1,PRUNE2,ABCC9,PTCH1,ATF3,BCL2
UP00103_2_Jundm2_secondary	JDP2	0.0	6.54775888473e-61	PMAIP1,ISL1,SLC30A8,FOXI1,SOX17,NKX2-5,ADAMTS2,RORA,MAGI2,FOXF2,NECAB2,FOXQ1,TSC22D1,NFIL3,ENPP2,NEGR1,EDEM3,CACNA2D1,ROR1,BMP5,APP,RNF180,NRXN1,RUNX1,LSAMP,PRRX2,MMP16,GRIA4,ST18,KBTBD7,CHODL,LIMCH1,KCNMA1,PPM1H,PVRL3,RASEF,SAMD3,DLX1,DLX2,TRPM3,TSPYL5,TCF7,ELK4,TSHZ3,TTC8,UNC5D,CDK8,ZEB2,ABCG1,IRF1,ZNRF2,NALCN,AGBL4,HDAC7,TENM3,NHLH1,CADPS,GNAI1,CACNB2,SGCB,RNF150,RIMS2,FBXW7,ANKS1B,SLC43A3,PDZRN3,RGS17,ERO1L,GRIK2,IRS1,STEAP1,LPAR1,BIRC3,FOXO3,BMPER,TEAD1,SOX6,SOX5,CEBPA,TEAD4,LDHA,NR3C1,ST6GALNAC5,PBX3,PBX1,NFIB,E2F1,PRUNE2,ABCC9,ATF3,BCL2
MA0079.2.SP1	SP1	0.0	2.4967428918e-28	PMAIP1,SPTB,NKX2-2,MAFA,SOX17,CACNA1H,CACNA2D1,ADAMTS2,RORA,EML5,MAGI2,FOXF2,FOXQ1,FAM135A,DDIT3,SP1,ENPP2,NEGR1,EDEM3,ROR1,CCND1,RUNX1,ELP4,DAXX,LIMCH1,MEIS3,KCNMA1,PPM1H,SYT14,NFIL3,DLX1,DLX2,TCF7,TCF3,FOS,TSHZ3,PAX6,GRN,ZEB2,IRF2,IRF1,PRRX2,NALCN,CAMKK2,HS6ST3,FOXC1,YY1,GNAI1,SLC52A3,SGCB,NFKB2,FGF14,ABCG1,ZFP36L1,FOXD1,LEF1,FAIM2,GRIK2,ZNRF2,IRS1,LPAR3,LPAR1,FOXO3,BMPER,TEAD3,TEAD1,SOX6,SOX5,DGKZ,SIM1,GFI1B,ERO1LB,TEAD4,NR3C1,REST,RXRA,RAB3C,PBX4,PBX3,NFIB,E2F1,PRUNE2,ABCC9,PTCH1,STXBP5L,ATF3,BCL2
UP00000_2_Smad3_secondary	SMAD3	0.0	3.84696870308e-20	YY1,KIAA1257,TCF7,NKX2-2,BMPER,TEAD3,PMAIP1,TEAD1,NKX2-5,CACNA1H,DAXX,SLC52A3,GFI1B,ADAMTS2,LIMCH1,MEIS3,SGCB,SOX17,MAGI2,FOXF2,NFKB2,GNAI1,DLX2,FBXW7,FOXQ1,NR3C1,FOS,TSHZ3,RXRA,REST,FOXD1,PBX4,ZEB2,NFIB,IRF1,PRRX2,E2F1,ZNRF2,APP,NRXN1,CAMKK2,PRUNE2,PRKACB,LPAR1,STXBP5L,FOXC1,BCL2
MA0139.1.CTCF	CTCF	0.0	1.73884265189e-19	CACNA1H,CADM1,AGBL4,YY1,GRIA2,CPE,CTNNB1,MAPK10,BMPER,MAFA,PPM1H,NKX2-5,DGKZ,ATRNL1,SLC52A3,CACNA2D1,GDAP1,ADAMTS2,CACNB2,LIMCH1,MEIS3,MEIS2,RORA,SOX17,RGS4,MAGI2,FOXF2,NFIL3,NMNAT3,OXGR1,RREB1,RIMS2,FBXW7,FOXQ1,SDK1,TCF3,SP1,LPAR1,FOXD3,NEGR1,KIAA1804,PRRX2,EDEM3,RXRA,ANKS1B,CADPS,FOXD1,RTN1,ROR1,POU1F1,NFIB,TMEM63C,NEUROD1,SULT4A1,E2F1,TSHZ3,ZNRF2,STAT5A,NKX3-1,TRPM3,FOXC1,BCL2
MA0056.1.MZF1_1-4	MZF1	0.0	1.03605176484e-18	QTRTD1,PMAIP1,SPTB,SCG2,FOXI1,MAFA,PAM,RREB1,CACNA1H,LHX3,ADAMTS2,RORA,EML5,MAGI2,FOXF2,GLP1R,FOXQ1,FAM135A,DDIT3,RASEF,TSC22D1,SP1,ENPP2,NEGR1,MTUS2,EDEM3,NKX2-5,CACNA2D1,ROR1,BMP5,DBNL,CCND1,APP,RNF180,NRXN1,RUNX1,LSAMP,MMP16,GRIA2,NKX2-2,SPZ1,ST18,DAXX,LIMCH1,MEIS3,KCNMA1,PPM1H,PCLO,SYT14,NFIL3,DLX1,DLX2,TRPM3,SDK1,ELK4,TCF3,FOS,TSHZ3,IAPP,ZEB2,IRF2,IRF1,PRRX2,SULT4A1,TMEM61,ZNRF2,NALCN,CAMKK2,MEF2A,HS6ST3,FOXC1,C2CD4A,AGBL4,YY1,HDAC7,TENM3,ST6GALNAC5,GNAI1,ATRNL1,SLC52A3,MECOM,NFKB2,RIMS2,CADM1,ZFP36L1,ABCG1,CPEB1,FOXD3,FOXD1,ANKS1B,OXGR1,PDZRN3,FAIM2,FOXO3,TMEM63C,ARNT,GRIK2,IRS1,NKX3-1,PRKACB,STEAP1,LPAR3,LPAR1,CCBL2,BIRC3,BMPER,TEAD3,TEAD1,SOX6,SOX5,DGKZ,GFI1B,PBX4,ERO1LB,DGKB,NR3C1,REST,RXRA,RAB3C,CADPS,PBX3,PBX1,POU1F1,NFIB,E2F1,PRUNE2,ABCC9,PTCH1,ATF3
UP00007_1_Egr1_primary	EGR1	0.0	2.60689359185e-17	YY1,TCF7,TEAD3,MAFA,RALYL,KBTBD7,SLC52A3,RASEF,ADAMTS2,MEIS3,KCNMA1,ATRNL1,MAGI2,FOXF2,NFIL3,DLX2,FBXW7,CACNA1H,NR3C1,DDIT3,SYT14,TCF3,TSHZ3,LPAR1,RXRA,REST,FOXD1,PRRX2,ANKS1B,LEF1,ROR1,ZEB2,FAIM2,ABCG1,IRF1,PTCH1,E2F1,PAX6,ARNT,PAPPA2,ZNRF2,STXBP5L,CAMKK2,HS6ST3,TRPM3,GRIK2,FOXC1
UP00021_1_Zfp281_primary	ZFP281	5.89528426076e-14	1.48329023449e-16	YY1,HDAC7,ONECUT1,SPTB,NR3C1,TMEM63C,NKX2-2,CNTN1,BCL2,TEAD3,MAFA,TEAD1,ABCG1,RREB1,DGKZ,DAXX,SIM1,ELP4,TCF3,ADAMTS2,FOS,MEIS3,KCNMA1,RGS4,MAGI2,GLP1R,SOX5,DLX2,CACNA1H,TCF7,DDIT3,ZFP36L1,NFIB,TSHZ3,LPAR1,ENPP2,FOXD3,REST,FOXD1,NEGR1,STEAP1,PRRX2,EDEM3,RXRA,GRN,ROR1,ZEB2,FAIM2,FOXO3,IRF1,PTCH1,E2F1,PMAIP1,ARNT,CCND1,PAPPA2,NALCN,IRS1,CAMKK2,FOXC1,LSAMP,PRKACB,LPAR3,GRIK2,ATF3,CCBL2
MA0089.1.NFE2L1::MafG	NA	2.94209101526e-13	5.68144202105e-16	PMAIP1,ISL1,SPTB,CPE,MEIS2,FOXI1,MAFA,PPM1H,RREB1,ADAMTS2,RORA,EML5,ATRNL1,MAGI2,KNSTRN,DDIT3,SYT14,TSC22D1,NFIL3,NEGR1,CACNA2D1,ROR1,TENM3,BMP5,APP,RNF180,NRXN1,RUNX1,LSAMP,NOBOX,GRIA2,ST18,DAXX,DDX59,CHODL,KCNMA1,SOX17,ZNF585B,RASEF,SAMD3,NKX2-5,FAM135A,DLX2,TRPM3,TSPYL5,ELK4,TCF3,FOS,TTC8,UNC5D,ZEB2,IRF2,IRF1,TMEM61,NALCN,CAMKK2,FOXC1,C2CD4A,AGBL4,HDAC7,MAPK10,NHLH1,CADPS,FGF14,GDAP1,MECOM,CACNB2,RNF150,PBX1,CADM1,ABCG1,RXRA,KIAA1804,SLCO1A2,NFKB2,PDZRN3,FAIM2,RGS17,GRIK2,RALYL,STAT5A,NKX3-1,STEAP1,LPAR3,LPAR1,FOXO3,FOXO1,BMPER,TEAD1,SOX6,TEAD4,SIM1,GFI1B,SOX5,NR3C1,ZFP36L1,RAB3C,ST6GALNAC5,PBX3,NFIB,PON1,FUT4,ABCC9,PTCH1,ATF3,BCL2
MA0002.2.RUNX1	RUNX1	2.2846280423e-11	4.32261650437e-14	NR3C1,MMP16,AGBL4,SOX5,NOBOX,SPTB,SCG2,PTCH1,TENM3,NKX2-2,FOXO3,BMPER,NHLH1,BCL2,FOXI1,PMAIP1,EML5,TEAD1,TEAD4,ATRNL1,ADAMTS2,MECOM,CHODL,KCNMA1,RORA,PPM1H,FUT4,MAGI2,RASEF,NFIL3,RNF150,PBX1,RIMS2,FBXW7,TCF7,LSAMP,RGS17,TSC22D1,LPAR1,RXRA,ZFP36L1,NEGR1,MTUS2,PRRX2,ST6GALNAC5,CACNA2D1,PBX3,ROR1,PDZRN3,IRF2,IRF1,NFIB,SULT4A1,E2F1,ARNT,NALCN,ZNRF2,NRXN1,LDHA,SLC52A3,PRUNE2,ELK4,HLF,TRPM3,APP,ATF3,SLC30A8
