FACTOR1	P-VALUE	CORR.P-VALUE	A	B	C	D	PERCENT	BACK.PER.	GENES
MA0527.1.ZBTB33	0.00101135881421	0.380358866576	225.0	197.0	11249.0	13403.0	53.32	45.63	QTRTD1,PMAIP1,KIAA1257,ISL1,MEIS2,SNAP91,GPM6A,SLC30A8,NOL4,NKX2-2,MAFA,SOX17,RREB1,CACNA1H,LHX3,ADAMTS2,ABCG1,RORB,RORA,EML5,ATRNL1,NSG1,MAGI2,FOXF2,GLP1R,RELA,COX6A2,FLJ35390,NECAB2,B3GALT4,DDIT3,RGS17,TSC22D1,SP1,NFIL3,CRB1,FAM84A,NEGR1,DKFZP686K1684,PPM1H,EDEM3,CACNA2D1,ROR1,NKX6-1,FOXA2,DBNL,CCND1,APP,ROBO2,RNF180,NRXN1,FAM135A,ZSCAN18,C7ORF41,FAM135B,PRRX2,SLC17A6,FOXP2,MMP16,ACVR1C,TSPYL5,GRIA2,SLC7A2,KIAA1407,LOC283692,CNTN4,LIG4,TMEM132D,KL,RUNX1,KBTBD7,DDX59,LIMCH1,AMER3,ABHD10,KCNMA1,IGSF11,PVRL3,ZNF585B,PCLO,SYT14,SAMD3,NEUROG3,MCTP2,DLX1,DLX2,SDK1,TCF7,ZNF223,TCF3,FOS,TSHZ3,TTC8,UNC5D,CD40,CDK8,PAX6,BOP1,DCUN1D5,IMMP1L,ZEB1,IRF2,IRF1,ELP4,TMEM61,NALCN,CAMKK2,PCDH17,HS6ST3,SLC18A2,FOXC1,YY1,HDAC7,ONECUT1,DACH1,NHLH1,GABRA1,GAD2,GNAI1,FGF14,ZBTB10,GDAP1,MECOM,CACNB2,SMIM8,TMEM200A,ZEB1-AS1,ABHD13,RNF150,HLF,RIMS2,FBXW7,CEBPA-AS1,SRF,RIMBP2,SLC35F4,CPEB1,TSC22D1-AS1,FOXD3,FOXD1,BARX2,GRIA4,ANKS1B,KCNB2,C1ORF168,GABRB3,SLC43A3,NFKB2,PDZRN3,FAIM2,FOXO3,ERO1L,PAPPA2,IRS1,RALYL,STAT5A,NKX3-2,NKX3-1,PRKACB,STEAP1,LPAR3,CADM1,BMPER,FOXQ1,BIRC3,CTNNB1,SLC5A1,FOXO1,HAND1,ZFP36L1,TEAD3,SMARCA1,TEAD1,DIRAS2,TEAD4,DGKZ,SIM1,GFI1B,MEIS3,MZF1,GJB7,RGS4,ERO1LB,HNF1A,LOC100131691,SOX5,NR3C2,NR3C1,CEBPA,REST,RXRA,PDX1,LOC642366,PBX4,PBX3,PBX1,NFIB,EIF4E3,PCDHA1,GFI1,E2F1,ARX,SLC7A10,ZBTB41,PTCH1,BCL2
UP00001_1_E2F2_primary	0.0138189418958	0.9985954347	230.0	192.0	12074.0	12578.0	54.5	48.98	QTRTD1,KIAA1257,ISL1,MEIS2,SNAP91,NOL4,FOXI1,MAFA,SOX17,RREB1,CACNA1H,LHX3,ADAMTS2,ABCG1,ATRX,RORB,RORA,EML5,ATRNL1,MAGI2,FOXF2,GLP1R,RELA,NECAB2,B3GALT4,FAM19A4,DDIT3,RASEF,RGS17,TSC22D1,SP1,NFIL3,CRB1,FAM84A,NEGR1,DKFZP686K1684,PPM1H,EDEM3,CACNA2D1,ROR1,NKX6-1,FOXA2,DZIP3,CCND1,APP,ROBO2,RNF180,FAM135A,ZSCAN18,C7ORF41,FAM135B,PRRX2,SLC17A6,FOXP2,MMP16,ACVR1C,TSPYL5,GRIA2,NBEA,SLC7A2,GRN,KIAA1407,NKX2-2,LOC283692,CNTN4,LIG4,TMEM132D,KL,RUNX1,DAXX,ABHD13,LIMCH1,AMER3,KCNMA1,IGSF11,PVRL3,ZNF585B,PCLO,SYT14,SAMD3,NEUROG3,DLX1,DLX2,TRPM3,SDK1,TCF7,ZNF223,TCF3,FOS,TSHZ3,TTC8,CDK8,PAX6,BOP1,IMMP1L,C3ORF14,ZEB1,IRF2,IRF1,ELP4,SULT4A1,TMEM61,NALCN,CAMKK2,MEF2A,TMEM196,HS6ST3,SLC18A2,FOXC1,HDAC1,YY1,HDAC7,ONECUT1,DACH1,GABRA1,GAD2,GNAI1,FGF14,SLC52A3,ZBTB10,GDAP1,MECOM,CACNB2,SMIM8,TMEM200A,SGCB,ZEB1-AS1,NMNAT3,NFKB2,HLF,RIMS2,CADM1,CEBPA-AS1,SRF,ZFP36L1,SLC35F4,TSC22D1-AS1,HMGCLL1,FOXD3,FOXO1,FOXD1,BARX2,KIAA1804,GRIA4,SLCO1A2,ANKS1B,KCNB2,LEF1,GABRB3,SLC43A3,OXGR1,PDZRN3,CTNNB1,NEUROD1,SLC5A1,GRIK2,IRS1,RALYL,NKX3-1,PRKACB,STEAP1,LPAR3,PTPRG-AS1,LPAR1,BMPER,FOXQ1,CPEB1,FOXO3,IRAK1BP1,KIAA1524,SOX9,HAND1,SMARCA1,TEAD3,DSCAM,TEAD1,DIRAS2,TEAD4,DGKZ,CEBPA,GFI1B,MZF1,MAB21L1,GJB7,ERO1LB,CERKL,LOC100131691,CNOT2,SOX5,LDHA,NR3C2,NR3C1,LEF1-AS1,REST,RXRA,PDX1,LOC642366,PBX4,PBX3,PBX1,POU1F1,NFIB,EIF4E3,PCDHA1,GFI1,E2F1,ARX,MTUS2,ZBTB41,FUT4,PRUNE2,PDK4,PTCH1,STXBP5L,ATF3,BCL2
UP00065_1_Zfp161_primary	0.0214364705748	0.999963065592	208.0	214.0	10901.0	13751.0	49.29	44.22	PMAIP1,KIAA1257,ISL1,SPTB,MEIS2,SNAP91,SLC30A8,NOL4,NKX2-2,MAFA,SOX17,RREB1,CACNA1H,LHX3,ADAMTS2,ABCG1,NBEA,RORA,EML5,ATRNL1,NSG1,MAGI2,FOXF2,GLP1R,RELA,NECAB2,B3GALT4,FAM19A4,DDIT3,RASEF,FOXA2,TSC22D1,SP1,CRB1,FAM84A,NEGR1,DKFZP686K1684,PPM1H,CACNA2D1,ROR1,PCDH20,CCND1,APP,ROBO2,RNF180,FAM135A,ZSCAN18,C7ORF41,FAM135B,PRRX2,FOXP2,MMP16,TSPYL5,GRIA2,SLC7A2,GRIA4,LOC283692,CNTN4,LIG4,TMEM132D,KL,RUNX1,DDX59,LIMCH1,AMER3,KCNMA1,IGSF11,PVRL3,ZNF585B,PCLO,SYT14,NFIL3,NEUROG3,DLX1,DLX2,TRPM3,SDK1,TCF7,TCF3,FOS,TSHZ3,OXGR1,PAX6,BOP1,GRN,IRF2,IRF1,SULT4A1,TMEM61,NALCN,CAMKK2,MEF2A,PCDH17,TMEM196,HS6ST3,SLC18A2,FOXC1,HDAC1,CADM1,AGBL4,YY1,HDAC7,ONECUT1,TENM3,DACH1,PBX4,GAD2,GNAI1,FGF14,ZBTB10,GDAP1,MECOM,CACNB2,DIRAS2,ABHD13,NMNAT3,RNF150,RIMS2,FBXW7,CEBPA-AS1,ZFP36L1,SLC35F4,TSC22D1-AS1,FOXD3,FOXD1,BARX2,KIAA1804,SLCO1A2,ANKS1B,KCNB2,LEF1,GABRB3,SLC43A3,NFKB2,PDZRN3,RGS17,ERO1L,NEUROD1,ARNT,IRS1,RALYL,NKX3-2,NKX3-1,PRKACB,CDK8,LPAR1,FOXQ1,CPEB1,FOXO3,FOXO1,SOX9,BMPER,SMARCA1,TEAD3,DSCAM,TEAD1,MAP9,TEAD4,DGKZ,CEBPA,MAB21L1,CNOT2,SOX5,LDHA,NR3C2,NR3C1,LEF1-AS1,REST,RXRA,RAB3C,LOC642366,CADPS,PBX3,POU1F1,NFIB,EIF4E3,PCDHA1,GFI1,E2F1,ARX,MTUS2,ZBTB41,FUT4,PRUNE2,PDK4,PTCH1,SPATA7,ATF3,BCL2
MA0149.1.EWSR1-FLI1	0.0285859192469	0.999998797555	380.0	42.0	21412.0	3240.0	90.05	86.86	QTRTD1,CADM1,ATXN8OS,KIAA1257,ISL1,SPTB,SULT4A1,SCG2,MEIS2,SNAP91,LURAP1L,GPM6A,SLC30A8,MS4A8,NOL4,FOXI1,MAFA,PPM1H,PAM,NKX2-5,DCN,LHX3,ADAMTS2,ABCG1,ATRX,RORB,RORA,EML5,ATRNL1,NSG1,MAGI2,FOXF2,GLP1R,COX6A2,FLJ35390,ONECUT1,FOXQ1,JAKMIP2,FAM19A4,DDIT3,RASEF,RGS17,TSC22D1,SP1,NFIL3,CRB1,TMEM63C,FAM84A,NEGR1,DKFZP686K1684,DACH1,EDEM3,KLHL1,CACNA2D1,ROR1,NKX6-1,PCDH20,DBNL,DZIP3,PMAIP1,SCGB2A1,ABHD13,ROBO2,RNF180,NRXN1,FAM135A,KNSTRN,CCND1,C7ORF41,FAM135B,LSAMP,CEBPA,TRPM3,APP,NYAP2,ELAVL4,MMP16,NOBOX,ACVR1C,DIRAS2,GRIA2,GABRG2,SLC7A2,KIAA1407,G6PC2,NKX2-2,CNTN1,CNTN4,LIG4,KL,RUNX1,ST18,TMEM132B,KBTBD7,DAXX,DDX59,ZSCAN18,CHODL,LIMCH1,AMER3,ABHD10,KCNMA1,IGSF11,MAP10,PBX4,PVRL3,FOXA2,PCLO,SYT14,SAMD3,SMARCA1,RREB1,DLX1,DLX2,REG3A,MCTP2,SDK1,TCF7,ELK4,TCF3,FOS,KCNK16,TSHZ3,OXGR1,C2CD4A,TTC8,UNC5D,CD40,PAX6,BOP1,DCUN1D5,NECAB2,GRN,C3ORF14,ZEB1,IAPP,ZEB2,IRF2,IRF1,PRRX2,STAT5A,TMEM61,ZNRF2,CPE,NALCN,ST8SIA3,CAMKK2,MEF2A,PCDH17,TMEM196,HS6ST3,SLC18A2,DSCAM,FOXC1,HDAC1,FOXP2,AGBL4,YY1,HDAC7,MYO3A,TENM3,HGF,FOXO3,MAPK10,NHLH1,GABRA1,ST6GALNAC5,GAD2,GNAI1,FGF14,SLC52A3,ZBTB10,GDAP1,MECOM,CACNB2,SMIM8,TMEM200A,SGCB,ZEB1-AS1,SGCZ,ABCC9,NMNAT3,RNF150,HLF,SLC7A10,RIMS2,FBXW7,CEBPA-AS1,TAL1,DCX,RIMBP2,SLC35F4,CPEB1,TSC22D1-AS1,HMGCLL1,FOXD3,FOXO1,FOXD1,BARX2,KIAA1804,GRIA4,SLCO1A2,ANKS1B,KCNB2,LEF1,GABRB3,SLC43A3,NFKB2,PDZRN3,FAIM2,CTNNB1,ERO1L,NEUROD1,ARNT,GRIK2,ZNF616,IRS1,RALYL,SLC5A8,LOC283692,NKX3-2,NKX3-1,PRKACB,CDK8,LPAR3,PTPRG-AS1,LPAR1,CCBL2,B3GALT4,SPZ1,BMPER,BIRC3,RBMXL1,IRAK1BP1,KIAA1524,SOX9,HAND1,TEAD2,TEAD3,SRF,TEAD1,MAP9,SOX6,TEAD4,DGKZ,SIM1,GFI1B,MEIS3,MZF1,MAB21L1,GJB7,RGS4,ERO1LB,CERKL,HNF1A,PGR,LOC100131691,CNOT2,SOX5,LDHA,PDK4,NR3C2,NR3C1,LEF1-AS1,ENPP2,RTN1,REST,ZFP36L1,RAB3C,NBEA,LOC642366,CADPS,PBX2,PBX3,SLC5A1,PBX1,POU1F1,NFIB,EIF4E3,PCDHA1,GFI1,E2F1,CACNA1H,ARX,PCP4,PON1,MTUS2,ZBTB41,FUT4,PRUNE2,ZFP57,PTCH1,SPATA7,STXBP5L,ATF3,BCL2
MA0056.1.MZF1_1-4	0.0336999847044	0.999999895883	358.0	64.0	20036.0	4616.0	84.83	81.28	QTRTD1,CADM1,ATXN8OS,KIAA1257,ISL1,SPTB,SULT4A1,MEIS2,SNAP91,GPM6A,SLC30A8,ELP4,NOL4,FOXI1,MAFA,SOX17,PAM,NKX2-5,DCN,LHX3,ADAMTS2,ABCG1,ATRX,RORB,RORA,ATRNL1,NSG1,MAGI2,FOXF2,GLP1R,RUNX1,RELA,COX6A2,ONECUT1,FOXQ1,JAKMIP2,FAM19A4,DDIT3,RGS17,TSC22D1,SP1,NFIL3,CRB1,TMEM63C,FAM84A,NEGR1,DKFZP686K1684,PPM1H,DACH1,EDEM3,KLHL1,CACNA2D1,ROR1,NKX6-1,BMP5,PCDH20,DZIP3,PMAIP1,SCGB2A1,APP,ROBO2,SYT4,RNF180,NRXN1,FAM135A,CCND1,C7ORF41,FAM135B,LSAMP,TRPM3,SLC17A6,NYAP2,ELAVL4,MMP16,MS4A8,ACVR1C,TSPYL5,GRIA2,GABRG2,NBEA,SLC7A2,GRN,KIAA1407,G6PC2,NKX2-2,CNTN1,CNTN4,LIG4,TMEM132D,KL,PON1,ST18,TMEM132B,KBTBD7,DAXX,DDX59,ZSCAN18,CHODL,LIMCH1,AMER3,ABHD10,KCNMA1,DCX,IGSF11,MAP10,PBX4,PVRL3,ZNF585B,RASEF,SAMD3,NEUROG3,SMARCA1,RREB1,DLX1,DLX2,REG3A,MCTP2,SDK1,TCF7,ZNF223,TCF3,FOS,KCNK16,TSHZ3,C2CD4A,TTC8,UNC5D,CD40,CDK8,PAX6,BOP1,DCUN1D5,IMMP1L,C3ORF14,ZEB1,NECAB2,ZEB2,IRF2,IRF1,PRRX2,STAT5A,TMEM61,ZNF616,NALCN,ST8SIA3,CAMKK2,MEF2A,PCDH17,TMEM196,HS6ST3,SLC18A2,DSCAM,FOXC1,HDAC1,FOXP2,AGBL4,YY1,HDAC7,MYO3A,TENM3,HGF,FOXO3,MAPK10,NHLH1,GABRA1,CADPS,GAD2,GNAI1,FGF14,SLC52A3,ZBTB10,MECOM,CACNB2,SMIM8,TMEM200A,SGCB,ZEB1-AS1,SGCZ,ABHD13,NMNAT3,NFKB2,CTNNA3,SLC7A10,RIMS2,FBXW7,CEBPA-AS1,TAL1,FOXA2,ZFP36L1,SLC35F4,CPEB1,TSC22D1-AS1,HMGCLL1,FOXD3,FOXO1,FOXD1,BARX2,KIAA1804,GRIA4,SLCO1A2,ANKS1B,KCNB2,LEF1,GABRB3,SLC43A3,OXGR1,PDZRN3,FAIM2,CTNNB1,ERO1L,NEUROD1,SLC5A1,GRIK2,IRS1,RALYL,SLC5A8,LOC283692,NKX3-2,NKX3-1,PRKACB,STEAP1,LPAR3,PTPRG-AS1,LPAR1,CCBL2,B3GALT4,SPZ1,HLF,BMPER,BIRC3,RBMXL1,IRAK1BP1,KIAA1524,SOX9,HAND1,TEAD2,TEAD3,SRF,TEAD1,MAP9,SOX6,TEAD4,DGKZ,CEBPA,GFI1B,MEIS3,MZF1,MAB21L1,GJB7,IAPP,ERO1LB,CERKL,HNF1A,PGR,LOC100131691,CNOT2,SOX5,LDHA,NR3C2,NR3C1,LEF1-AS1,ENPP2,RTN1,REST,RXRA,RAB3C,PDX1,LOC642366,ST6GALNAC5,PBX2,PBX3,PBX1,POU1F1,NFIB,EIF4E3,GFI1,E2F1,CACNA1H,C1ORF168,MTUS2,ZBTB41,FUT4,PRUNE2,PTCH1,SPATA7,STXBP5L,ATF3,BCL2
UP00003_1_E2F3_primary	0.0400438429884	0.999999995061	218.0	204.0	11647.0	13005.0	51.66	47.25	QTRTD1,KIAA1257,ISL1,MEIS2,SNAP91,NOL4,FOXI1,MAFA,SOX17,RREB1,CACNA1H,LHX3,ADAMTS2,ABCG1,RORB,RORA,EML5,ATRNL1,MAGI2,FOXF2,GLP1R,RELA,NECAB2,FOXQ1,FAM19A4,DDIT3,RASEF,RGS17,TSC22D1,SP1,NFIL3,CRB1,FAM84A,NEGR1,DKFZP686K1684,PPM1H,EDEM3,CACNA2D1,NKX6-1,FOXA2,DZIP3,CCND1,APP,ROBO2,FAM135A,ZSCAN18,C7ORF41,FAM135B,PRRX2,SLC17A6,ELAVL4,MMP16,ACVR1C,TSPYL5,GRIA2,SLC7A2,GRN,KIAA1407,NKX2-2,LOC283692,CNTN4,LIG4,TMEM132D,KL,RUNX1,KBTBD7,DAXX,ABHD13,LIMCH1,AMER3,KCNMA1,IGSF11,PVRL3,ZNF585B,PCLO,SYT14,SAMD3,NEUROG3,DLX1,DLX2,TRPM3,SDK1,TCF7,TCF3,FOS,TSHZ3,TTC8,CDK8,PAX6,BOP1,IMMP1L,C3ORF14,IRF2,IRF1,ELP4,TMEM61,NALCN,CAMKK2,MEF2A,TMEM196,HS6ST3,SLC18A2,FOXC1,HDAC1,FOXP2,YY1,HDAC7,ONECUT1,DACH1,GABRA1,CADM1,GAD2,GNAI1,FGF14,ZBTB10,GDAP1,MECOM,CACNB2,SMIM8,TMEM200A,SGCB,NMNAT3,NFKB2,HLF,RIMS2,FBXW7,CEBPA-AS1,SRF,ZFP36L1,SLC35F4,TSC22D1-AS1,FOXD3,FOXO1,FOXD1,BARX2,KIAA1804,GRIA4,SLCO1A2,ANKS1B,KCNB2,LEF1,GABRB3,SLC43A3,OXGR1,PDZRN3,CTNNB1,GRIK2,IRS1,RALYL,NKX3-1,PRKACB,STEAP1,LPAR3,PTPRG-AS1,LPAR1,BMPER,B3GALT4,CPEB1,FOXO3,IRAK1BP1,KIAA1524,SOX9,HAND1,SMARCA1,TEAD3,DSCAM,TEAD1,MAP9,DIRAS2,TEAD4,DGKZ,CEBPA,GFI1B,MZF1,GJB7,CERKL,LOC100131691,CNOT2,SOX5,LDHA,NR3C2,NR3C1,LEF1-AS1,REST,RXRA,RAB3C,PDX1,LOC642366,PBX4,PBX3,PBX1,POU1F1,NFIB,EIF4E3,PCDHA1,GFI1,E2F1,ARX,MTUS2,ZBTB41,PRUNE2,PDK4,PTCH1,STXBP5L,ATF3,BCL2
MA0470.1.E2F4	0.0455440962145	0.999999999648	298.0	124.0	16421.0	8231.0	70.62	66.61	QTRTD1,CADM1,KIAA1257,ISL1,SPTB,MEIS2,SNAP91,SLC30A8,NOL4,FOXI1,MAFA,SOX17,PAM,NKX2-5,CACNA1H,LHX3,ADAMTS2,ABCG1,RORB,RORA,EML5,ATRNL1,NSG1,MAGI2,FOXF2,GLP1R,RELA,COX6A2,FLJ35390,ONECUT1,FOXQ1,JAKMIP2,FAM19A4,DDIT3,RASEF,RGS17,TSC22D1,SP1,NFIL3,CRB1,TMEM63C,FAM84A,NEGR1,DKFZP686K1684,PPM1H,DACH1,EDEM3,KLHL1,CACNA2D1,ROR1,NKX6-1,FOXA2,DBNL,DZIP3,PMAIP1,CCND1,APP,ROBO2,RNF180,NRXN1,FAM135A,ZSCAN18,C7ORF41,FAM135B,LSAMP,CEBPA,PRRX2,NYAP2,ELAVL4,MMP16,ACVR1C,TSPYL5,GRIA2,NBEA,SLC7A2,GRN,KIAA1407,NKX2-2,CNTN1,CNTN4,LIG4,TMEM132D,KL,RUNX1,ST18,KBTBD7,DDX59,CHODL,LIMCH1,AMER3,ABHD10,KCNMA1,IGSF11,PVRL3,ZNF585B,PCLO,SYT14,SAMD3,NEUROG3,RREB1,DLX1,DLX2,TRPM3,MCTP2,SDK1,TCF7,TCF3,FOS,KCNK16,TSHZ3,C2CD4A,UNC5D,CDK8,PAX6,BOP1,DCUN1D5,IMMP1L,C3ORF14,ZEB1,NECAB2,ZEB2,IRF2,IRF1,ELP4,SULT4A1,TMEM61,ZNF616,NALCN,ST8SIA3,CAMKK2,MEF2A,PCDH17,TMEM196,HS6ST3,SLC18A2,DSCAM,FOXC1,FOXP2,AGBL4,YY1,HDAC7,MYO3A,SMARCA1,HGF,FOXO3,NHLH1,GABRA1,ST6GALNAC5,GAD2,GNAI1,FGF14,ZBTB10,GDAP1,MECOM,CACNB2,SMIM8,TMEM200A,SGCB,ZEB1-AS1,ABHD13,NMNAT3,NFKB2,HLF,RIMS2,FBXW7,CEBPA-AS1,SRF,DCX,RIMBP2,SLC35F4,CPEB1,TSC22D1-AS1,FOXD3,FOXO1,FOXD1,BARX2,KIAA1804,GRIA4,ATXN8OS,ANKS1B,KCNB2,LEF1,GABRB3,SLC43A3,OXGR1,PDZRN3,FAIM2,CTNNB1,ERO1L,NEUROD1,ARNT,GRIK2,IRS1,RALYL,LOC283692,NKX3-2,NKX3-1,PRKACB,STEAP1,LPAR3,PTPRG-AS1,LPAR1,CCBL2,B3GALT4,BMPER,BIRC3,RBMXL1,IRAK1BP1,KIAA1524,SOX9,HAND1,ZFP36L1,TEAD3,TEAD2,TEAD1,DIRAS2,TEAD4,DGKZ,SIM1,GFI1B,MEIS3,MZF1,SLC7A10,GJB7,PBX4,ERO1LB,PGR,LOC100131691,CNOT2,SOX5,LDHA,NR3C2,NR3C1,LEF1-AS1,ENPP2,RTN1,REST,RXRA,RAB3C,PDX1,LOC642366,CADPS,PBX2,PBX3,PBX1,NFIB,EIF4E3,PCDHA1,GFI1,E2F1,ARX,PON1,MTUS2,ZBTB41,FUT4,PRUNE2,PDK4,PTCH1,SPATA7,STXBP5L,ATF3,BCL2
UP00074_1_Isgf3g_primary	0.0477150277779	0.999999999873	266.0	156.0	14520.0	10132.0	63.03	58.9	QTRTD1,PMAIP1,ATXN8OS,KIAA1257,SCG2,SNAP91,LURAP1L,GPM6A,SLC30A8,MS4A8,ATRX,FOXI1,SOX17,PAM,NKX2-5,DCN,GABRB3,RORB,LIG4,NSG1,DCX,GLP1R,PGR,COX6A2,FLJ35390,ONECUT1,B3GALT4,JAKMIP2,FAM19A4,RASEF,TSC22D1,SP1,CRB1,CPE,NEGR1,DKFZP686K1684,KLHL1,CCDC158,ROR1,NKX6-1,BMP5,DBNL,SCGB2A1,APP,ROBO2,SYT4,RNF180,NRXN1,CCND1,FOXA2,LSAMP,TRPM3,GRIK2,NYAP2,ELAVL4,ACVR1C,DIRAS2,GRIA2,GABRG2,SLC7A2,KIAA1407,G6PC2,CNTN1,CNTN4,KL,RUNX1,ST18,KBTBD7,DAXX,ZSCAN18,CHODL,LIMCH1,AMER3,ABHD10,MEIS2,IGSF11,MAP10,PVRL3,ZNF585B,PCLO,SYT14,SAMD3,RREB1,FAM135A,REG3A,MCTP2,TSPYL5,ELK4,FOS,C2CD4A,TTC8,IAPP,CD40,PAX6,DCUN1D5,GRN,C3ORF14,ZEB2,IRF2,TMEM61,ZNRF2,ST8SIA3,CAMKK2,MEF2A,PCDH17,PDX1,HDAC1,FOXP2,MYO3A,TENM3,DACH1,MAPK10,NHLH1,C1ORF158,GABRA1,GAD2,GNAI1,FGF14,ZBTB10,GDAP1,MECOM,CACNB2,SMIM8,TMEM200A,SGCB,SGCZ,NMNAT3,RNF150,HLF,RIMS2,FBXW7,TAL1,RIMBP2,ABCG1,CPEB1,FOXD3,FOXD1,GRIA4,SLCO1A2,ANKS1B,NOL4,LEF1,ENAM,PDZRN3,KNSTRN,NEUROD1,ARNT,PAPPA2,ZNF616,RALYL,STAT5A,LOC283692,NKX3-1,PRKACB,STEAP1,PTPRG-AS1,CADM1,BMPER,SPZ1,BIRC3,FOXO3,IRAK1BP1,HAND1,DSCAM,SLC5A8,TEAD2,TEAD1,MAP9,SOX6,SOX5,DGKZ,SIM1,GFI1B,MAB21L1,GJB7,RGS4,ERO1LB,HNF1A,SLC17A6,DGKB,CNOT2,PCDH20,LDHA,ABCC9,NR3C1,LEF1-AS1,ENPP2,RTN1,REST,ZFP36L1,RAB3C,NBEA,HGF,ST6GALNAC5,PBX2,SLC5A1,CTNNA3,POU1F1,NFIB,GFI1,E2F1,ARX,PCP4,MTUS2,FUT4,PRUNE2,ZFP57,PTCH1,SPATA7,STXBP5L,ATF3,BCL2
UP00246_1_Hoxa11_2218.1	0.0554985141904	0.999999999997	183.0	239.0	9715.0	14937.0	43.36	39.41	ATXN8OS,KIAA1257,SPTB,CPE,MEIS2,SNAP91,GPM6A,SLC30A8,MS4A8,ATRX,NKX2-2,SOX17,NKX2-5,DCN,RORA,DCX,HMGCLL1,RELA,FLJ35390,FOXQ1,JAKMIP2,TSC22D1,CRB1,MTUS2,KLHL1,CCDC158,ROR1,COX6A2,BMP5,DBNL,DZIP3,SCGB2A1,APP,NRXN1,FAM135A,ZSCAN18,LSAMP,TRPM3,GRIK2,NYAP2,ELAVL4,MMP16,NOBOX,ACVR1C,DIRAS2,GABRG2,SLC7A2,GRIA4,G6PC2,CNTN1,CNTN4,ST18,TMEM132B,KBTBD7,DAXX,DDX59,CHODL,ABHD10,KCNMA1,IGSF11,MAP10,ZNF585B,PCLO,RASEF,SAMD3,DLX1,DLX2,REG3A,TSPYL5,ZNF223,TTC8,UNC5D,DCUN1D5,IMMP1L,C3ORF14,ZEB1,IAPP,ABCG1,ELP4,ZNRF2,ST8SIA3,CAMKK2,HDAC1,FOXP2,ONECUT1,DACH1,MAPK10,C1ORF158,GABRA1,MCTP2,ZBTB10,GDAP1,MECOM,CACNB2,SMIM8,ZEB1-AS1,SGCZ,NMNAT3,RNF150,RIMS2,FBXW7,TAL1,RIMBP2,SLC35F4,CPEB1,FOXD3,FOXD1,BARX2,SLCO1A2,ANKS1B,NOL4,ENAM,KNSTRN,ERO1L,ARNT,PAPPA2,ZNF616,RALYL,PRKACB,PTPRG-AS1,CCBL2,SPZ1,BIRC3,RBMXL1,IRAK1BP1,KIAA1524,HAND1,SLC5A8,DSCAM,MAP9,SOX6,SOX5,DGKZ,GFI1B,GJB7,RGS4,CERKL,PGR,DGKB,CNOT2,SERPINI2,ABCC9,NR3C1,ENPP2,RTN1,REST,ZFP36L1,RAB3C,HGF,ST6GALNAC5,PBX2,CTNNA3,POU1F1,NFIB,GFI1,ZBTB41,FUT4,PRUNE2,PDK4,PTCH1,SPATA7,ATF3
UP00078_1_Arid3a_primary	0.0569700990795	0.999999999998	217.0	205.0	11691.0	12961.0	51.42	47.42	ATXN8OS,KIAA1257,ISL1,SCG2,SNAP91,LURAP1L,GPM6A,SLC30A8,MS4A8,ATRX,NKX2-2,SOX17,DCN,GABRB3,NALCN,NBEA,RORA,LIG4,DCX,HMGCLL1,PGR,FLJ35390,JAKMIP2,TSC22D1,SP1,CRB1,CPE,MTUS2,KLHL1,CCDC158,ROR1,COX6A2,BMP5,DBNL,APP,ROBO2,SYT4,NRXN1,ZSCAN18,C7ORF41,ELK4,TRPM3,PAPPA2,NYAP2,ELAVL4,NOBOX,ACVR1C,DIRAS2,GABRG2,SLC7A2,GRIA4,G6PC2,CNTN1,CNTN4,RUNX1,ST18,TMEM132B,KBTBD7,CHODL,LIMCH1,ABCC9,ABHD10,MEIS2,IGSF11,MAP10,PVRL3,FOXA2,PCLO,SAMD3,SMARCA1,MCTP2,FAM135A,REG3A,TSPYL5,ZNF223,KCNK16,C2CD4A,MEIS3,C3ORF14,ZEB1,ZEB2,ABCG1,SULT4A1,ZNRF2,ST8SIA3,CAMKK2,MEF2A,PCDH17,SLC18A2,HDAC1,FOXP2,ONECUT1,TENM3,LOC642366,MAPK10,NHLH1,GABRA1,GAD2,GNAI1,ZBTB10,GDAP1,MECOM,CACNB2,SMIM8,ZEB1-AS1,SGCZ,NMNAT3,HLF,RIMS2,FBXW7,SRF,RIMBP2,GLP1R,ZFP36L1,SLCO1A2,ANKS1B,NOL4,C1ORF168,ENAM,SLC43A3,PDZRN3,KNSTRN,ERO1L,ARNT,GRIK2,IRS1,RALYL,PRKACB,STEAP1,PTPRG-AS1,FGF14,CCBL2,BIRC3,RBMXL1,SLC5A1,SOX9,DSCAM,SLC5A8,TAL1,MAP9,SOX6,SOX5,GFI1B,MAB21L1,GJB7,RGS4,ERO1LB,SLC17A6,DGKB,CNOT2,SERPINI2,ZFP57,NR3C1,ENPP2,RTN1,REST,RAB3C,PDX1,HGF,ST6GALNAC5,PBX2,CTNNA3,POU1F1,NFIB,GFI1,PCP4,ZBTB41,FUT4,PDK4,PTCH1,SPATA7,STXBP5L,ATF3,BCL2
